Empire Surf G2016 Academy,Desert Empire Surf G16 Academy ,,,,
ALBION SC Riverside G16 Academy,Vista storm G2016(Red),,,,
Empire Surf G2016-A1,Future FC G16,,,,
,,,,,
G2015 Elite Group,4 Teams,,,,
Empire Surf G2015 Academy LU,,,,,
Rebels G2015 PreECNL - Ruiz,,,,,
ALBION SC Riverside G15 Academy,,,,,
City SC SW G2015 PRE GA ,,,,,
,,,,,
G2015 Premier Group,4 Teams,,,,
Future FC G2015,,,,,
Desert Empire Surf Girls 2015 Academy ,,,,,
Rebels G2016 Elite,,,,,
Rebel G15 Pre-ECRL,,,,,
,,,,,
G2015 Classic Group,4 Teams,,,,
Cal Elite G2015,,,,,
Empire Surf G2015 Academy 1,,,,,
Rebels G2015 Academy- Dare,,,,,
MV Rush G2015,,,,,
,,,,,
G2014 Elite Group,4 Teams,,,,
ALBION SC Riverside G14 Academy,,,,,
City SC Southwest Temecula G2014 Gold,,,,,
Future FC G14 ,,,,,
G14 White MUR-Galarza,,,,,
,,,,,
G2014 Premier Group,6 Team Crossover,,,,
Group A,Group B,,,,
Albion SC Riverside G2014 Premier GR,Empire Surf G2014 A-1,,,,
Future FC G14W,Nomads G2014,,,,
CITY SC SW G14 GOLD LE ,MV Rush G2014,,,,
,,,,,
G2014 Classic Group,6 Team Crossover,,,,
Group A,Group B,,,,
San Diego Force G2014 Academy I AM,City SC - San Marcos - G2014 Gold,,,,
Empire Surf North G2014A,Future FC G14 NAVY,,,,
Rebels SC G2014 Premier - Dare,Desert Empire SURF G14 BLUE CORTES ,,,,
,,,,,
G2013 Premier Group,6 Team Crossover,,,,
Group A,Group B,,,,
Future FC G13 White,Desert Empire SURF G14 Pre-NPL Cortes ,,,,
Future FC G2013,Empire Surf North G2013A-1 Silva,,,,
SD Force G2013 Academy,Empire Surf G2014A DH,,,,
,,,,,
G2013 Classic Group,6 Team Crossover,,,,
Group A,Group B,,,,
Vista Storm G2013 Red RG,Empire Surf G2013 Academy 1 BB,,,,
Inland Empire Coyotes FC G2013,SD Force 2013 Girls Academy 1,,,,
SD Force SC Premier G2013,Desert Empire SURF G13 Esparza ,,,,
,,,,,
G2012 Elite Group,4 Teams,,,,
Sporting California Girls 2012 ECNL RL SoCal,,,,,
Empire Surf North G2012 NL,,,,,
Sporting California USA ECNL G12,,,,,
TBD,,,,,
,,,,,
G2012 Premier Group,4 Teams,,,,
ALBION Riv G2012 DPL  AR,,,,,
Empire Surf G2012 Academy 2 CS,,,,,
Desert Empire Surf G12 Academy 2,,,,,
Future FC G12,,,,,
,,,,,
G2012 Classic Group,4 Teams,,,,
Cal Elite G2012 JG,,,,,
Empire Surf North G2012 Academy,,,,,
G2012 RebelsSD Mullet,,,,,
City SC Southwest  2013 DPL,,,,,
,,,,,
G2011 Elite Group,6 Team Crossover,,,,
Group A,Group B,,,,
Sporting California Girls 2011 ECNL RL SoCal,Desert Empire Surf G11 Academy,,,,
Sporting CA USA ECNL RL G11 GS,Empire Surf North G2011 NL,"SPorting Team Cannot Attend Now, Need a Filler",,,I probably have a solution internally
Sporting California USA ECNL RL SoCal G2011,Future FC G11 LJ,,,,
,,,,,
G2011 Premier Group,6 Team Crossover,,,,
Group A,Group B,,,,
San Diego Force 2011 Girls Academy KR,Legends FC SD North G2011 NL Premier (E64),,,,
Desert Empire Surf G11 Academy 1,ALBION SC Riverside G11 DPL,,,,
Empire Surf North G2011A-1,FASC G2011 Hernandez,,,,
,,,,,
G2011 Classic Group,4 Teams,,,,
FC Premier Elite G2011 Jorge,,,,,
Empire Surf G2012 A-1 NPL EN,,,,,
ELI7E FC - SELECT G2011,,,,,
City SC San Marcos Gold G2011,,,,,
,,,,,
G2010 Elite Group,4 Teams,,,,
Sporting California G2010 ECNL RL SoCal,,,,,
City SC Southwest G10 DPL,,,,,
Sporting Ca G2010 E64 NL,,,,,
CDA Slammers 10G NL1,,,,,
,,,,,
G2010 Premier Group,6 Team Crossover,,,,
Group A,Group B,,,,
San Diego Force FC G2010 Academy,Future FC G2010 Shy,,,,
Empire Surf G2010 E64,FC Premier Elite G2010 Reyna,,,,
ALBION SC Riverside G10 DPL,Desert Empire Surf G2010 Academy 1,,,,
,,,,,
G2009 Elite Group,6 Teams,,,,
Sporting California G2009 ECNL RL SoCal,City SC SW G09 DPL,,,,
ALBION SC Riverside G09 DPL,Empire Surf G2009 Academy,,,,
Future FC G2009,TBD,,,,
,,,,,
,,,,,
G2009 Classic Group,4 Teams,,,,
Cal Elite G2009 JC,,,,,
Empire Surf G09 Academy 1 ,,,,,
Sporting Slammers 2009 DPLO,,,,,
Legends FC G2010- need to apply,,,,,
,,,,,
G2007 Elite Group,4 Teams,,,,
Cal Elite G2008 JG,,,,,
Sporting California G2008/07 ECNL RL SoCal,,,,,
Cal Elite G2007,,,,,
Empire Surf G07/08 Academy NPL,,,,,
,,,,,
G2007 Classic Group,4 Teams,,,,
City SC Southwest G07 DPL CB,,,,,
Desert Empire G07 Academy,,,,,
Hemet Juventus G07/08,,,,,
Rangers FC G08 White,,,,,
